PLAYER_NAME,TEAM_NAME,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,LOC_X,LOC_Y,SHOT_MADE_FLAG,GAME_DATE
Cal Bowdler,Atlanta Hawks,Center(C),Less Than 8 ft.,1,3,1,19991102
Cal Bowdler,Atlanta Hawks,Right Side(R),8-16 ft.,115,5,1,19991113
Cal Bowdler,Atlanta Hawks,Left Side(L),8-16 ft.,-66,68,1,19991218
Cal Bowdler,Atlanta Hawks,Right Side(R),8-16 ft.,134,46,1,19991229
Cal Bowdler,Atlanta Hawks,Right Side(R),8-16 ft.,154,2,1,20000119
Cal Bowdler,Atlanta Hawks,Right Side(R),8-16 ft.,132,25,1,20000119
Cal Bowdler,Atlanta Hawks,Right Side(R),8-16 ft.,138,31,1,20000125
Cal Bowdler,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-111,164,1,20000208
Cal Bowdler,Atlanta Hawks,Center(C),Less Than 8 ft.,-3,70,1,20000309
Cal Bowdler,Atlanta Hawks,Center(C),Less Than 8 ft.,-68,29,1,20000330
Cal Bowdler,Atlanta Hawks,Left Side(L),8-16 ft.,-149,23,1,20000330
Cal Bowdler,Atlanta Hawks,Right Side(R),8-16 ft.,147,1,1,20000330
Cal Bowdler,Atlanta Hawks,Left Side(L),8-16 ft.,-121,1,1,20000401
Cal Bowdler,Atlanta Hawks,Left Side(L),16-24 ft.,-190,-3,1,20000404
Cal Bowdler,Atlanta Hawks,Center(C),Less Than 8 ft.,46,1,1,20000405
Cal Bowdler,Atlanta Hawks,Left Side(L),16-24 ft.,-162,-31,1,20000405
Cal Bowdler,Atlanta Hawks,Left Side(L),8-16 ft.,-121,5,1,20000407
Cal Bowdler,Atlanta Hawks,Right Side(R),16-24 ft.,192,40,1,20000408
Cal Bowdler,Atlanta Hawks,Center(C),Less Than 8 ft.,-12,5,1,20000408
Cal Bowdler,Atlanta Hawks,Center(C),Less Than 8 ft.,-3,-16,1,20000408
Cal Bowdler,Atlanta Hawks,Left Side(L),16-24 ft.,-175,-3,1,20000412
Cal Bowdler,Atlanta Hawks,Left Side(L),8-16 ft.,-121,-3,1,20000412
Cal Bowdler,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-121,128,1,20000412
Cal Bowdler,Atlanta Hawks,Right Side(R),8-16 ft.,87,104,1,20000412
Cal Bowdler,Atlanta Hawks,Center(C),Less Than 8 ft.,-74,16,1,20000414
Cal Bowdler,Atlanta Hawks,Left Side(L),8-16 ft.,-128,3,1,20000414
Cal Bowdler,Atlanta Hawks,Left Side(L),16-24 ft.,-169,25,1,20000419
Cal Bowdler,Atlanta Hawks,Center(C),Less Than 8 ft.,5,14,1,20000419
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,8,70,1,19991102
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,20,3,1,19991102
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,-55,46,1,19991106
Chris Crawford,Atlanta Hawks,Left Side(L),16-24 ft.,-182,40,1,19991106
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,-8,1,1,19991110
Chris Crawford,Atlanta Hawks,Right Side(R),8-16 ft.,158,1,1,19991110
Chris Crawford,Atlanta Hawks,Right Side Center(RC),24+ ft.,192,141,1,19991110
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,55,40,1,19991110
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,-1,1,1,19991110
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,18,12,1,19991110
Chris Crawford,Atlanta Hawks,Center(C),8-16 ft.,-14,151,1,19991110
Chris Crawford,Atlanta Hawks,Right Side(R),16-24 ft.,179,23,1,19991113
Chris Crawford,Atlanta Hawks,Left Side(L),16-24 ft.,-190,1,1,19991113
Chris Crawford,Atlanta Hawks,Right Side(R),8-16 ft.,113,81,1,19991123
Chris Crawford,Atlanta Hawks,Left Side(L),8-16 ft.,-89,40,1,19991130
Chris Crawford,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-121,145,1,19991204
Chris Crawford,Atlanta Hawks,Right Side(R),8-16 ft.,98,5,1,19991204
Chris Crawford,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-70,160,1,19991210
Chris Crawford,Atlanta Hawks,Left Side Center(LC),24+ ft.,-173,177,1,19991210
Chris Crawford,Atlanta Hawks,Left Side Center(LC),24+ ft.,-166,201,1,19991210
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,-1,5,1,19991211
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,5,1,1,19991211
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,20,33,1,19991222
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,-3,12,1,19991222
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,3,5,1,19991222
Chris Crawford,Atlanta Hawks,Right Side(R),8-16 ft.,132,3,1,19991230
Chris Crawford,Atlanta Hawks,Left Side(L),8-16 ft.,-83,27,1,19991230
Chris Crawford,Atlanta Hawks,Left Side(L),8-16 ft.,-61,87,1,20000104
Chris Crawford,Atlanta Hawks,Left Side(L),16-24 ft.,-171,12,1,20000105
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,-40,46,1,20000107
Chris Crawford,Atlanta Hawks,Right Side Center(RC),24+ ft.,149,199,1,20000208
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,1,51,1,20000218
Chris Crawford,Atlanta Hawks,Left Side(L),16-24 ft.,-177,-16,1,20000225
Chris Crawford,Atlanta Hawks,Center(C),24+ ft.,-3,254,1,20000225
Chris Crawford,Atlanta Hawks,Center(C),16-24 ft.,-3,214,1,20000226
Chris Crawford,Atlanta Hawks,Right Side Center(RC),16-24 ft.,81,173,1,20000226
Chris Crawford,Atlanta Hawks,Left Side(L),16-24 ft.,-197,-10,1,20000228
Chris Crawford,Atlanta Hawks,Right Side Center(RC),16-24 ft.,111,147,1,20000306
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,-12,74,1,20000307
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,23,1,1,20000314
Chris Crawford,Atlanta Hawks,Right Side Center(RC),24+ ft.,194,158,1,20000314
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,-18,68,1,20000317
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,-70,10,1,20000317
Chris Crawford,Atlanta Hawks,Left Side(L),16-24 ft.,-162,-29,1,20000322
Chris Crawford,Atlanta Hawks,Right Side(R),16-24 ft.,194,-18,1,20000322
Chris Crawford,Atlanta Hawks,Right Side(R),16-24 ft.,173,-1,1,20000322
Chris Crawford,Atlanta Hawks,Left Side(L),8-16 ft.,-134,-40,1,20000322
Chris Crawford,Atlanta Hawks,Left Side Center(LC),16-24 ft.,-79,175,1,20000324
Chris Crawford,Atlanta Hawks,Center(C),Less Than 8 ft.,-79,-5,1,20000324
Chris Crawford,Atlanta Hawks,Center(C),24+ ft.,5,246,1,20000324
Dion Glover,Atlanta Hawks,Right Side Center(RC),24+ ft.,128,218,1,19991208
Dion Glover,Atlanta Hawks,Center(C),24+ ft.,-8,254,1,20000119
Dion Glover,Atlanta Hawks,Right Side Center(RC),24+ ft.,186,173,1,20000304
Dion Glover,Atlanta Hawks,Right Side Center(RC),16-24 ft.,104,130,1,20000304
Dion Glover,Atlanta Hawks,Right Side Center(RC),16-24 ft.,89,147,1,20000306
Dion Glover,Atlanta Hawks,Right Side Center(RC),16-24 ft.,128,149,1,20000317
Dion Glover,Atlanta Hawks,Center(C),Less Than 8 ft.,1,57,1,20000321
Dion Glover,Atlanta Hawks,Center(C),Less Than 8 ft.,53,33,1,20000321
Dion Glover,Atlanta Hawks,Left Side Center(LC),24+ ft.,-177,169,1,20000322
Dion Glover,Atlanta Hawks,Right Side(R),24+ ft.,233,-36,1,20000324
Dion Glover,Atlanta Hawks,Right Side Center(RC),24+ ft.,190,169,1,20000328
Dion Glover,Atlanta Hawks,Right Side Center(RC),24+ ft.,149,297,1,20000401
Dion Glover,Atlanta Hawks,Center(C),Less Than 8 ft.,-44,66,1,20000404
Dion Glover,Atlanta Hawks,Left Side Center(LC),24+ ft.,-147,222,1,20000404
Dion Glover,Atlanta Hawks,Center(C),24+ ft.,10,250,1,20000405
Dion Glover,Atlanta Hawks,Right Side Center(RC),16-24 ft.,89,177,1,20000405
Dion Glover,Atlanta Hawks,Right Side Center(RC),24+ ft.,216,141,1,20000407
Dion Glover,Atlanta Hawks,Right Side Center(RC),16-24 ft.,134,173,1,20000408
